iter	Passed	Remaining
457	813	962
458	814	960
459	815	957
460	816	955
461	817	952
462	818	949
463	820	947
464	821	944
465	822	942
466	823	939
467	824	937
468	826	935
469	827	932
470	828	930
471	829	927
472	830	925
473	831	922
474	832	920
475	834	918
476	836	916
477	837	914
478	838	912
479	839	909
480	841	907
481	842	905
482	843	903
483	844	900
484	846	898
485	847	896
486	848	893
487	849	891
488	850	888
489	851	886
490	852	883
491	853	881
492	854	878
493	855	876
494	857	874
495	858	872
496	860	870
497	861	868
498	862	865
499	863	863
500	865	861
501	866	859
502	867	857
503	868	854
504	869	852
505	870	850
506	871	847
507	872	845
508	874	843
509	875	840
510	876	838
511	877	836
512	878	834
513	879	832
514	881	829
515	882	827
516	883	825
517	884	823
518	885	820
519	886	818
520	889	817
521	890	815
522	891	813
523	892	810
524	893	808
525	895	806
526	897	805
527	898	802
528	899	800
529	900	798
530	901	796
531	902	794
532	904	792
533	905	789
534	906	787
535	907	785
536	908	783
537	909	781
538	910	778
539	911	776
540	912	774
541	913	772
542	914	769
543	915	767
544	916	765
545	917	763
546	921	762
547	922	760
548	923	758
549	924	756
550	925	754
551	926	751
552	928	750
553	928	747
554	930	745
555	931	744
556	932	741
557	933	739
558	935	737
559	936	735
560	937	733
561	938	731
562	939	729
563	940	727
564	941	725
565	942	722
566	943	720
567	945	718
568	946	716
569	947	714
570	948	712
571	949	710
572	950	708
573	951	706
574	953	704
575	954	702
576	955	700
577	956	698
578	957	696
579	959	694
580	960	692
581	961	690
582	962	688
583	964	686
584	965	684
585	966	683
586	967	680
587	968	678
588	969	676
589	970	674
590	972	672
591	973	671
592	975	669
593	977	667
594	977	665
595	979	663
596	980	661
597	981	659
598	982	657
599	983	655
600	984	653
601	985	651
602	987	649
603	988	647
604	989	645
605	990	644
606	991	642
607	992	640
608	993	638
609	994	636
610	995	634
611	997	632
612	998	630
613	999	628
614	1000	626
615	1002	624
616	1003	622
617	1004	620
618	1005	618
619	1008	618
620	1009	616
621	1011	614
622	1012	612
623	1013	610
624	1014	608
625	1016	607
626	1017	605
627	1018	603
628	1019	601
629	1020	599
630	1021	597
631	1023	595
632	1024	593
633	1025	592
634	1026	590
635	1027	588
636	1028	586
637	1030	584
638	1031	582
639	1032	580
640	1033	578
641	1034	576
642	1035	574
643	1036	573
644	1039	572
645	1040	570
646	1041	568
647	1042	566
648	1044	564
649	1045	562
650	1046	560
651	1047	559
652	1048	557
653	1049	555
654	1051	553
655	1052	551
656	1053	550
657	1054	548
658	1055	546
659	1056	544
660	1058	542
661	1059	540
662	1060	538
663	1061	537
664	1062	535
665	1063	533
666	1065	531
667	1066	529
668	1067	527
669	1068	526
670	1069	524
671	1070	522
672	1071	520
673	1073	519
674	1074	517
675	1075	515
676	1076	513
677	1077	511
678	1078	509
679	1079	508
680	1080	506
681	1081	504
682	1083	502
683	1084	500
684	1085	499
685	1086	497
686	1087	495
687	1088	493
688	1089	491
689	1091	490
690	1092	488
691	1094	487
692	1096	485
693	1097	483
694	1099	482
695	1100	480
696	1101	479
697	1102	477
698	1103	475
699	1104	473
700	1105	471
701	1107	469
702	1108	468
703	1109	466
704	1110	464
705	1112	463
706	1114	461
707	1115	460
708	1116	458
709	1118	456
710	1119	454
711	1120	453
712	1121	451
713	1122	449
714	1127	449
715	1128	447
716	1129	445
717	1131	444
718	1132	442
719	1133	440
720	1134	438
721	1135	437
722	1136	435
723	1137	433
724	1138	431
725	1139	430
726	1141	428
727	1142	426
728	1143	425
729	1144	423
730	1146	421
731	1147	420
732	1148	418
733	1149	416
734	1150	414
735	1152	413
736	1153	411
737	1154	409
738	1157	408
739	1159	407
740	1160	405
741	1161	403
742	1162	402
743	1163	400
744	1164	398
745	1166	397
746	1167	395
747	1168	393
748	1169	391
749	1170	390
750	1172	388
751	1173	386
752	1174	385
753	1175	383
754	1176	381
755	1178	380
756	1179	378
757	1180	376
758	1182	375
759	1183	373
760	1184	372
761	1185	370
762	1186	368
763	1188	367
764	1189	365
765	1190	363
766	1191	362
767	1192	360
768	1193	358
769	1195	356
770	1196	355
771	1197	353
772	1198	351
773	1199	350
774	1200	348
775	1202	347
776	1203	345
777	1204	343
778	1205	341
779	1206	340
780	1207	338
781	1208	336
782	1209	335
783	1210	333
784	1212	331
785	1213	330
786	1214	328
787	1215	326
788	1216	325
789	1217	323
790	1218	321
791	1219	320
792	1221	318
793	1222	317
794	1223	315
795	1224	313
796	1225	312
797	1227	310
798	1228	309
799	1229	307
800	1230	305
801	1231	304
802	1233	302
803	1234	300
804	1235	299
805	1236	297
806	1238	296
807	1239	294
808	1240	292
809	1241	291
810	1244	290
811	1245	288
812	1247	286
813	1248	285
814	1249	283
815	1251	282
816	1252	280
817	1253	278
818	1254	277
819	1255	275
820	1257	274
821	1258	272
822	1259	270
823	1260	269
824	1262	267
825	1263	266
826	1264	264
827	1265	262
828	1267	261
829	1268	259
830	1269	258
831	1270	256
832	1271	254
833	1273	253
834	1274	251
835	1276	250
836	1277	248
837	1278	247
838	1279	245
839	1280	243
840	1281	242
841	1283	240
842	1284	239
843	1285	237
844	1286	235
845	1287	234
846	1289	232
847	1290	231
848	1291	229
849	1292	228
850	1294	226
851	1295	225
852	1296	223
853	1297	221
854	1298	220
855	1299	218
856	1300	217
857	1302	215
858	1303	213
859	1304	212
860	1306	210
861	1307	209
862	1308	207
863	1309	206
864	1311	204
865	1312	203
866	1313	201
867	1314	199
868	1315	198
869	1316	196
870	1318	195
871	1319	193
872	1320	192
873	1321	190
874	1323	189
875	1324	187
876	1325	185
877	1326	184
878	1327	182
879	1328	181
880	1330	179
881	1331	178
882	1332	176
883	1333	175
884	1334	173
885	1336	171
886	1337	170
887	1338	168
888	1340	167
889	1341	165
890	1342	164
891	1343	162
892	1344	161
893	1346	159
894	1347	158
895	1348	156
896	1349	154
897	1351	153
898	1352	151
899	1353	150
900	1355	148
901	1356	147
902	1357	145
903	1358	144
904	1360	142
905	1361	141
906	1362	139
907	1363	138
908	1364	136
909	1366	135
910	1369	133
911	1370	132
912	1371	130
913	1372	129
914	1373	127
915	1375	126
916	1376	124
917	1377	123
918	1378	121
919	1379	119
920	1380	118
921	1381	116
922	1382	115
923	1383	113
924	1384	112
925	1386	110
926	1387	109
927	1388	107
928	1389	106
929	1390	104
930	1393	103
931	1394	101
932	1395	100
933	1396	98
934	1398	97
935	1399	95
936	1400	94
937	1401	92
938	1402	91
939	1404	89
940	1405	88
941	1406	86
942	1407	85
943	1408	83
944	1410	82
945	1411	80
946	1412	79
947	1413	77
948	1414	76
949	1415	74
950	1416	73
951	1418	71
952	1419	69
953	1420	68
954	1421	66
955	1422	65
956	1423	63
957	1424	62
958	1425	60
959	1426	59
960	1427	57
961	1428	56
962	1430	54
963	1431	53
964	1432	51
965	1433	50
966	1434	48
967	1435	47
968	1436	45
969	1438	44
970	1439	42
971	1440	41
972	1441	39
973	1442	38
974	1443	37
975	1444	35
976	1446	34
977	1447	32
978	1448	31
979	1449	29
980	1450	28
981	1451	26
982	1452	25
983	1454	23
984	1455	22
985	1456	20
986	1457	19
987	1458	17
988	1460	16
989	1461	14
990	1462	13
991	1463	11
992	1464	10
993	1465	8
994	1467	7
995	1468	5
996	1469	4
997	1470	2
998	1471	1
999	1472	0
